"Country
unit","1990
Mton CO2eq","1995
Mton CO2eq","2000
Mton CO2eq","2005
Mton CO2eq","2010
Mton CO2eq","2012
Mton CO2eq","2015
Mton CO2eq","2015
% world total"
GLOBAL TOTAL,32772.31,34039.67,35962.45,41163.07,45934.04,47864.37,49113.03,100
Afghanistan,12.63,12.61,14.9,16.3,26.41,30.46,31.15,0.06
Albania,10.87,6.62,7.33,8.12,8.14,8.24,8.87,0.02
Algeria,150.89,188.78,167.92,178.07,193.62,209.2,239.42,0.49
Angola,52.3,57.66,57.17,58.52,64.73,66.61,81.03,0.16
Anguilla,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0
Antigua and Barbuda,0.33,0.38,0.37,0.41,0.46,0.73,0.74,0
Argentina,285.65,291.94,306.03,347.51,360.66,373.76,385.22,0.78
Armenia,24.13,6.14,6.11,7.72,7.54,9.08,8.57,0.02
Aruba,0.32,0.47,0.48,0.5,0.53,0.84,1,0
Australia,467.98,493.57,580.5,642.12,659.07,659.31,658.59,1.34
Austria,81.99,83.71,86.15,98.6,93.19,88.32,86.44,0.18
Azerbaijan,85.46,43.13,39.85,44.66,45,51.7,54.18,0.11
Bahamas,1.65,1.74,1.8,2.26,1.93,3.24,3.22,0.01
Bahrain,17.97,18.65,21.79,28.03,34.38,35.07,39.95,0.08
Bangladesh,125.88,131.53,141.08,160.5,194.53,203.89,221.48,0.45
Barbados,0.95,0.88,1.82,2.31,2.5,3,3.35,0.01
Belarus,162.88,105.03,104.84,120.03,134.28,148.95,144.58,0.29
Belgium,142.04,150.38,153.92,147.17,145.34,132.9,133.45,0.27
Belize,0.49,0.45,0.61,0.78,0.67,0.88,0.89,0
Benin,3.95,4.37,6.22,8.2,11.81,11.87,13.88,0.03
Bermuda,0.37,0.29,0.31,0.32,0.39,0.66,0.46,0
Bhutan,1.13,1.4,1.53,1.67,2.51,3.24,2.41,0
Bolivia,25.96,29.11,29.72,34.82,43.8,49.29,51.83,0.11
Bosnia and Herzegovina,31.78,6.59,19.73,23.31,28.32,29.32,30.82,0.06
Botswana,35.12,46.5,56.54,62.89,74.76,80.82,89.28,0.18
Brazil,652.76,782.91,875.25,1005.1,1106.77,1172.04,1229.25,2.5
British Virgin Islands,0.04,0.04,0.04,0.05,0.09,0.14,0.17,0
Brunei,7.23,9.32,10.2,10.56,13.12,13.3,12.04,0.02
Bulgaria,105.57,74.99,61.56,65.47,61.18,61.61,61.47,0.13
Burkina Faso,10.47,12.08,13.16,18.85,22.37,23.86,26.29,0.05
Burundi,2.83,3.01,3.21,3.61,4.49,4.22,4.65,0.01
Cambodia,18.15,21.62,22.34,26.34,32.33,33.44,35.82,0.07
Cameroon,25.94,50.94,41.14,40.28,39.88,39.51,48.44,0.1
Canada,612.8,663.57,736.68,755.19,738.14,750.76,779.87,1.59
Cape Verde,0.21,0.33,0.39,0.51,0.64,0.69,1.2,0
Cayman Islands,0.16,0.21,0.2,0.22,0.31,0.53,0.53,0
Central African Republic,4.85,5.77,6.85,7.54,8.79,9.64,10.03,0.02
Chad,9.99,10.88,13.01,15.51,18.03,19.28,20.76,0.04
Chile,58.05,70.55,84.19,90.98,101.53,112.51,117.19,0.24
China,3859.07,4934.71,5200.36,8136.08,11254.47,12488.24,13067.69,26.61
Colombia,131.69,146.3,145.98,148.13,163.27,163.57,168.37,0.34
Comoros,0.27,0.3,0.33,0.43,0.48,0.54,0.59,0
Congo,10.92,12.06,14.95,14.27,15.96,14.22,15.53,0.03
Cook Islands,0.05,0.04,0.05,0.07,0.07,0.12,0.05,0
Costa Rica,8.96,10.15,9.85,10.8,12.4,12.48,12.76,0.03
Côte d’Ivoire,10.19,12.49,16.88,18.03,19.94,23.36,26.33,0.05
Croatia,34.04,23.8,25.9,30.51,28.68,26.22,25.83,0.05
Cuba,60.89,44.52,50.27,45.51,54.23,52.54,51.54,0.1
Curaçao,5.61,5.82,5.59,4.95,6.38,7.57,7.58,0.02
Cyprus,5.38,6.62,8.15,9.16,9.58,8.69,7.88,0.02
Czechia,192.38,158.23,155.53,148.87,142,135.26,128.88,0.26
Democratic Republic of the Congo,18.95,22.69,21.93,24.96,28.38,35.89,40.48,0.08
Denmark,70.66,78.69,71.49,68.23,67.67,56.45,50.53,0.1
Djibouti,1.81,2.07,2.24,2.56,2.17,2.45,1.99,0
Dominica,0.1,0.13,0.13,0.12,0.15,0.2,0.19,0
Dominican Republic,16.6,21.04,27.95,28.75,32.69,33.6,34.97,0.07
Ecuador,45.5,49.7,43,52.75,65.1,66.14,70.62,0.14
Egypt,146.06,165.95,191.37,258.32,298.38,321.71,322.74,0.66
El Salvador,6.92,9.35,10.14,11.77,11.2,11.43,11.66,0.02
Equatorial Guinea,0.24,5.69,7.63,9.61,11.4,8.09,7.48,0.02
Eritrea,3.55,4.39,5.36,5.48,5.42,5.78,6.03,0.01
Estonia,43.46,22.05,20.18,22.83,25.85,24.64,24.39,0.05
Eswatini,2.47,2.49,3.6,3.53,3.78,3.49,2.85,0.01
Ethiopia,64.02,71.43,80.63,99.57,130.31,135.33,150.84,0.31
Falkland Islands,0.17,0.17,0.16,0.16,0.17,0.19,0.18,0
Faroes,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Fiji,2.18,2.09,2.44,3.49,2.47,3.38,2.51,0.01
Finland,83.02,84.44,83.83,86.48,94.37,82.46,76.15,0.16
France and Monaco,543.16,533.63,544.79,541.32,510.75,477.69,449.74,0.92
French Guiana,0.47,0.59,0.64,0.64,0.67,0.87,0.89,0
French Polynesia,1.01,0.64,0.72,0.97,1.08,1.81,0.73,0
Gabon,28.87,22.43,18.57,18.06,15.09,13.67,15.33,0.03
Georgia,42.8,14.94,12.01,11.39,12.05,14.28,15.94,0.03
Germany,1241.6,1124.53,1043.9,993.71,974.81,944.85,928.69,1.89
Ghana,10.97,13,16.17,18.22,24.81,29.51,35.57,0.07
Gibraltar,0.16,0.3,0.36,0.42,0.49,0.49,0.6,0
Greece,102.23,109,121.87,128.05,109.89,101.32,88.71,0.18
Greenland,0.02,0.03,0.03,0.66,0.7,0.59,0.55,0
Grenada,0.11,0.11,0.11,0.17,0.19,0.29,0.33,0
Guadeloupe,1.29,1.42,1.46,1.53,1.69,2.54,2.76,0.01
Guatemala,11.85,15.97,19.89,23.47,26.16,27.01,33.15,0.07
Guinea,7.08,8.34,9.97,11.68,16.05,17.91,20.12,0.04
Guinea-Bissau,1.53,1.68,1.92,2.02,2.58,2.82,2.78,0.01
Guyana,2.63,3.45,3.5,3.38,3.61,4.36,4.93,0.01
Haiti,6.11,6.8,8.05,11.06,12.09,12.44,13.83,0.03
Honduras,8.91,10.41,11.34,15.81,17.65,18.63,19.82,0.04
Hong Kong,38.54,41.91,46.01,46.75,47.65,50.85,49.74,0.1
Hungary,114.47,96.07,99.17,81.3,70.45,66.55,66.34,0.14
Iceland,4.42,3.38,3.92,4.28,4.88,4.76,4.98,0.01
India,1363.6,1609.25,1841.46,2128.19,2764.82,3016.43,3346.95,6.81
Indonesia,425.29,517.33,563.72,651.49,769.55,837.63,897.16,1.83
International Aviation,262.86,294.62,361.06,429,464.41,487.12,537.49,1.09
International Shipping,396.03,456.16,530.49,608.44,702.85,642.3,697.09,1.42
Iran,371.02,442.45,492.85,645.28,755.88,770.84,815.65,1.66
Iraq,126.17,146.82,136.27,137.58,187.79,215.5,238.15,0.48
Ireland,57.5,61.75,73.17,75.47,67.7,64.96,65.4,0.13
"Israel and Palestine, State of",42.37,56.59,69.73,73.42,84.78,90.73,82.24,0.17
"Italy, San Marino and the Holy See",518.64,528.37,552.74,584.38,505.99,472.86,427.52,0.87
Jamaica,10.08,11.69,13.46,13.92,10.3,10.18,10.34,0.02
Japan,1296.36,1396.66,1389.67,1409.08,1335.18,1422.22,1359.55,2.77
Jordan,12.72,17.37,19.21,24.23,26.17,30.83,33.03,0.07
Kazakhstan,352.03,246.49,175.94,233.12,307.46,364.84,360.13,0.73
Kenya,40.61,42.38,44.33,55.69,80.8,80.38,85.57,0.17
Kiribati,0.04,0.04,0.05,0.07,0.09,0.13,0.07,0
Kuwait,54.49,71.84,82.12,108.2,116.89,121.49,129.78,0.26
Kyrgyzstan,33.42,11.34,11.08,11.85,13.97,18.11,19.66,0.04
Laos,7.71,8.38,9.24,10.54,12.71,14.26,14.93,0.03
Latvia,27.57,13.39,10.98,13.08,14.03,13.44,13.45,0.03
Lebanon,7.87,16.8,17.79,19.4,23.71,26.99,29.28,0.06
Lesotho,1.97,2.04,2.4,2.44,2.76,2.53,2.86,0.01
Liberia,1.54,1.24,1.86,2.27,2.88,3.24,3.8,0.01
Libya,80.96,105.63,78.06,89.33,93.6,81.61,68.53,0.14
Lithuania,47.62,23.3,20.13,23.67,23.99,25.43,24.29,0.05
Luxembourg,12.65,9.97,9.86,13.17,12.33,11.94,10.38,0.02
Macao,1.12,1,1.36,1.81,1.36,2.8,1.29,0
Madagascar,23.47,24.19,25.06,26.27,27.77,28.91,29.04,0.06
Malawi,4.58,4.69,5.63,6.99,8.61,9.21,10.77,0.02
Malaysia,95.64,140.68,185.73,241.9,276.81,281.83,318.52,0.65
Maldives,0.1,0.29,0.44,0.55,0.97,1.72,0.92,0
Mali,12.55,13.67,16.17,20.45,25.35,26.9,30.01,0.06
Malta,2.52,2.63,2.44,3.14,3.06,3.14,2.08,0
Martinique,1.19,1.38,1.3,1.35,1.56,2.51,2.61,0.01
Mauritania,6.16,8.19,10.02,11.14,10.51,11.46,11.99,0.02
Mauritius,1.84,2.24,3.15,3.66,4.37,4.43,4.66,0.01
Mexico,459.25,527.48,624.09,699.92,759.41,780.04,770.32,1.57
Moldova,40.12,18.75,11.93,13.02,13.05,12.87,13.09,0.03
Mongolia,25.35,23.53,24.81,24.21,35.22,41.34,45.39,0.09
Morocco,39.18,44.9,51.48,63.88,72.68,80.15,84.1,0.17
Mozambique,8.38,9.6,11.6,15.54,17.49,21.58,25.97,0.05
Myanmar/Burma,68.69,77.97,83.98,102.15,109.07,110.4,129.73,0.26
Namibia,6.64,6.76,8.11,10.11,9.56,10.91,11.38,0.02
Nepal,28.94,30.91,33.23,34.83,38.6,41.1,41.81,0.09
Netherlands,220.48,234.37,230.69,225.73,222.74,210.48,207.93,0.42
New Caledonia,2.03,1.62,2.3,2.91,5.65,7.29,5.82,0.01
New Zealand,68.21,73.12,79.48,85.05,81.93,83.83,84.38,0.17
Nicaragua,9.98,10.34,12.94,14.1,15.14,16.61,18.67,0.04
Niger,12.43,15.17,17.69,21.73,26.61,28,31.99,0.07
